Glue: 1425,Page,URL Sections (21),Page Types (18),Page Type Variations (127),Levels (9),Normalized URL (without en),Level Match From Header/Footer
https://rbccm.com/en/insights/macro-minutes.page,Macro in Minutes,insights/,Podcast page,Macro Minutes,3,https://rbccm.com/insights/macro-minutes.page,No match
https://content.rbccm.com/doddfrank,Dodd-Frank Disclosure Site,N/A,Microsite,Dodd-Frank Disclosure,1,https://content.rbccm.com/doddfrank,No match
https://login.rbccm.com/comq/login/en,RBC CommissionQ Login,Login,Login,RBC CommissionQ Login,3,https://login.rbccm.com/comq/login/en,No match
https://login.rbccm.com/login,Log In,login/,Login,RBCCM Login,1,https://login.rbccm.com/login,Match: 1
https://rbcclear.rbccm.com/portal,RBC Clear login,rbcclear.com,Login,RBC Clear login,1,https://rbcclear.rbccm.com/portal,No match
https://www.rbccm.com/en/,Homepage,en/,Homepage,Homepage,2,https://www.rbccm.com/,No match
https://www.rbccm.com/en/about-us.page,About Us,en/,Section landing page,About Us,2,https://www.rbccm.com/about-us.page,No match
https://www.rbccm.com/en/about-us/awards.page,Awards,about-us/,Information page,Awards,3,https://www.rbccm.com/about-us/awards.page,Match: 2
https://www.rbccm.com/en/about-us/conferences.page,Conferences,en/,Event page,Conference,3,https://www.rbccm.com/about-us/conferences.page,Match: 2
https://www.rbccm.com/en/about-us/culture-and-values.page,Culture & Values,about-us/,Information Page,Culture & Values,3,https://www.rbccm.com/about-us/culture-and-values.page,Match: 2
https://www.rbccm.com/en/about-us/diversity.page,Diversity & Inclusion,about-us/,Information Page,Diversity & Inclusion,3,https://www.rbccm.com/about-us/diversity.page,Match: 2
https://www.rbccm.com/en/about-us/in-the-media.page,In the Media,about-us/,Information page,In the Media,3,https://www.rbccm.com/about-us/in-the-media.page,Match: 2
https://www.rbccm.com/en/about-us/leadership.page,Leadership,about-us/,Information page,Leadership,3,https://www.rbccm.com/about-us/leadership.page,Match: 2
https://www.rbccm.com/en/accessibility.page,Accessibility,en/,Footer page,Accessibility,2,https://www.rbccm.com/accessibility.page,No match
https://www.rbccm.com/en/australia.page,Australia,en/,Information page,Australia,2,https://www.rbccm.com/australia.page,No match
https://www.rbccm.com/en/careers.page,Careers,en/,Section landing page,Careers,2,https://www.rbccm.com/careers.page,No match
https://www.rbccm.com/en/careers/campus-recruiting.page,Campus Recruiting,careers/,Information page,Campus Recruiting,3,https://www.rbccm.com/careers/campus-recruiting.page,Match: 2
https://www.rbccm.com/en/careers/discoveryprograms.page,Discovery Programs,careers/,Information page,Discovery Programs,3,https://www.rbccm.com/careers/discoveryprograms.page,No match
https://www.rbccm.com/en/careers/experienced-professionals.page,Experienced Professionals,careers/,Information page,Experienced Professionals,3,https://www.rbccm.com/careers/experienced-professionals.page,Match: 2
https://www.rbccm.com/en/careers/pathways.page,Pathways Diversity Award Program,careers/,Information page,Pathways Diversity Award Program,3,https://www.rbccm.com/careers/pathways.page,No match
https://www.rbccm.com/en/careers/programs.page,Programs,careers/,Information Page,Programs,3,https://www.rbccm.com/careers/programs.page,No match
https://www.rbccm.com/en/careers/programs.page?program=analyst,Programs,careers/,Information page,Programs,3,https://www.rbccm.com/careers/programs.page?program=analyst,No match
https://www.rbccm.com/en/careers/programs.page?program=grad,Programs,careers/,Information page,Programs,3,https://www.rbccm.com/careers/programs.page?program=grad,No match
https://www.rbccm.com/en/careers/programs.page?region=ca&program=co-op,Programs,careers/,Information page,Programs,3,https://www.rbccm.com/careers/programs.page?region=ca&program=co-op,No match
https://www.rbccm.com/en/careers/programs.page?region=CA&program=co-op,Programs,careers/,Information Page,Programs,3,https://www.rbccm.com/careers/programs.page?region=CA&program=co-op,No match
https://www.rbccm.com/en/careers/programs.page?region=us&program=mba,Programs,careers/,Information page,Programs,3,https://www.rbccm.com/careers/programs.page?region=us&program=mba,No match
https://www.rbccm.com/en/careers/programs.page?region=US&program=mba,Programs,careers/,Information Page,Programs,3,https://www.rbccm.com/careers/programs.page?region=US&program=mba,No match
https://www.rbccm.com/en/careers/rlaunch.page,RBCCM Rlaunch Program,careers/,Information page,RBCCM Rlaunch Program,3,https://www.rbccm.com/careers/rlaunch.page,No match
https://www.rbccm.com/en/careers/womens-advisory-program.page,Women's Advisory Program,careers/,Information page,Women's Advisory Program,3,https://www.rbccm.com/careers/womens-advisory-program.page,No match
https://www.rbccm.com/en/citizenship/charity-day-for-the-kids.page,Charity Day for the Kids,citizenship/,Content hub,Charity Day for the Kids,3,https://www.rbccm.com/citizenship/charity-day-for-the-kids.page,No match
https://www.rbccm.com/en/citizenship/foundation-usa/making-a-positive-impact-in-2023.page,Making a Positive Impact in 2023,citizenship/,Article page,RBC Foundation USA,4,https://www.rbccm.com/citizenship/foundation-usa/making-a-positive-impact-in-2023.page,No match
https://www.rbccm.com/en/citizenship/story.page?dcr=templatedata/article/citizenship/data/2021/10/rbc-gives-boost-to-sportsaid-week-by-becoming-supporting-partner,RBC gives boost to SportsAid Week by becoming supporting partner,citizenship/,Article page,Global Impact Stories,9,https://www.rbccm.com/citizenship/story.page?dcr=templatedata/article/citizenship/data/2021/10/rbc-gives-boost-to-sportsaid-week-by-becoming-supporting-partner,No match
https://www.rbccm.com/en/citizenship/story.page?dcr=templatedata/article/citizenship/data/2022/04/continuing_our_support_of_britains_brightest_sporting_stars,Continuing Our Support of Britain’s Brightest Sporting Stars,citizenship/,Article page,Global Impact Stories,9,https://www.rbccm.com/citizenship/story.page?dcr=templatedata/article/citizenship/data/2022/04/continuing_our_support_of_britains_brightest_sporting_stars,No match
https://www.rbccm.com/en/citizenship/story.page?dcr=templatedata/article/citizenship/data/2022/05/keeping_pace_at_the_rbc_brooklyn_half,Keeping Pace at the RBC Brooklyn Half,citizenship/,Article page,Global Impact Stories,9,https://www.rbccm.com/citizenship/story.page?dcr=templatedata/article/citizenship/data/2022/05/keeping_pace_at_the_rbc_brooklyn_half,No match
https://www.rbccm.com/en/citizenship/story.page?dcr=templatedata/article/citizenship/data/2022/11/the_rbc_running_weekend_returned_to_london_raising_millions_for_great,The RBC Running Weekend Returned to London Raising Millions for Causes,citizenship/,Article page,Global Impact Stories,9,https://www.rbccm.com/citizenship/story.page?dcr=templatedata/article/citizenship/data/2022/11/the_rbc_running_weekend_returned_to_london_raising_millions_for_great,No match
https://www.rbccm.com/en/citizenship/story.page?dcr=templatedata/article/citizenship/data/2022/12/marking_a_million_pound_milestone_with_ronald_mcdonald_house_charities_uk,Marking a Million Pound Milestone with Ronald McDonald House Charities UK,citizenship/,Article page,Global Impact Stories,9,https://www.rbccm.com/citizenship/story.page?dcr=templatedata/article/citizenship/data/2022/12/marking_a_million_pound_milestone_with_ronald_mcdonald_house_charities_uk,No match
https://www.rbccm.com/en/citizenship/story.page?dcr=templatedata/article/citizenship/data/2023/02/bringing_the_stage_to_young_people_in_needperiod,Bringing the stage to young people in need,citizenship/,Article page,Global Impact Stories,9,https://www.rbccm.com/citizenship/story.page?dcr=templatedata/article/citizenship/data/2023/02/bringing_the_stage_to_young_people_in_needperiod,No match
https://www.rbccm.com/en/citizenship/story.page?dcr=templatedata/article/citizenship/data/2023/04/celebrating_a_decade_of_sporting_success_with_sportsaid,Celebrating a Decade of Sporting Success with SportsAid,citizenship/,Article page,Global Impact Stories,9,https://www.rbccm.com/citizenship/story.page?dcr=templatedata/article/citizenship/data/2023/04/celebrating_a_decade_of_sporting_success_with_sportsaid,No match
